Date,Close
11/17/16,80.53
11/18/16,81.5
11/21/16,81.09
11/22/16,81.56
11/23/16,82.21
11/25/16,81.57
11/28/16,79.55
11/29/16,79.02
11/30/16,80.32
12/1/16,81.98
12/2/16,80.7
12/5/16,81.1
12/6/16,84.14
12/7/16,82.6
12/8/16,83.96
12/9/16,83.53
12/12/16,82.79
12/13/16,83.66
12/14/16,83.04
12/15/16,83.41
12/16/16,83.55
12/19/16,83.36
12/20/16,83.9
12/21/16,83.73
12/22/16,83.9
12/23/16,84.2
12/27/16,84.01
12/28/16,83.3
12/29/16,82.76
12/30/16,83.04
1/3/17,81.83
1/4/17,82.94
1/5/17,82.35
1/6/17,83
1/9/17,82.73
1/10/17,83.24
1/11/17,83.43
1/12/17,82.6
1/13/17,83.5
1/17/17,80.7
1/18/17,81.83
1/19/17,81.7
1/20/17,82.43
1/23/17,82.44
1/24/17,83.32
1/25/17,82.98
1/26/17,84.67
1/27/17,83.2
1/30/17,81.84
1/31/17,82.24
2/1/17,81.74
2/2/17,81.46
2/3/17,83.09
2/6/17,82.68
2/7/17,82.49
2/8/17,80.97
2/9/17,81.79
2/10/17,82.03
2/13/17,83.44
2/14/17,84.46
2/15/17,84.06
2/16/17,84.04
2/17/17,83.86
2/21/17,83.55
2/22/17,83.69
2/23/17,83.71
2/24/17,82.93
2/27/17,83.54
2/28/17,82.46
3/1/17,84.81
3/2/17,82.48
3/3/17,83.2
3/6/17,82.85
3/7/17,82.73
3/8/17,81.1
3/9/17,81.18
3/10/17,80.79
3/13/17,80.63
3/14/17,79.94
3/15/17,79.21
3/16/17,80.18
3/17/17,80.22
3/20/17,78.98
3/21/17,75.83
3/22/17,75.43
3/23/17,75.46
3/24/17,75.45
3/27/17,75.19
3/28/17,76.63
3/29/17,76.36
3/30/17,78.69
3/31/17,78.27
4/3/17,77.71
4/4/17,77.3
4/5/17,75.46
4/6/17,76.28
4/7/17,76.52
4/10/17,76.68
4/11/17,76.99
4/12/17,76.04
4/13/17,74.75
4/17/17,75.94
4/18/17,76.26
4/19/17,76.56
4/20/17,78.06
4/21/17,77.93
4/24/17,79.6
4/25/17,80.29
4/26/17,85.46
4/27/17,85.04
4/28/17,84.29
5/1/17,84.27
5/2/17,83.52
5/3/17,84.49
5/4/17,84.18
5/5/17,84.21
